label|desc|country|country_w|province|province_w|county|county_w|barony|barony_w|lat|lon|latlon|source
Rathkenny (Ogham Site)|Ogham Site, Co. Kerry|Ireland|Q27|Munster|Q131438|Kerry|Q184469|Clanmaurice|Q106626703|52.33167|-9.72028|52.33167,-9.72028|https://www.townlands.ie/kerry/clanmaurice/odorney/tubrid/rathkenny/
Ballybarrack (Ogham Site)|Ogham Site, Co. Louth|Ireland|Q27|Leinster |Q159736|Louth|Q183539|Upper Dundalk|Q106626710|53.98278|-6.43833|53.98278,-6.43833|https://www.townlands.ie/louth/upper-dundalk/ballybarrack/haggardstown/ballybarrack/
Bunkilla (Ogham Site)|Ogham Site, Co. Cork|Ireland|Q27|Munster|Q131438|Cork|Q162475|East Muskerry|Q106626711|51.97722|-8.69389|51.97722,-8.69389|https://www.townlands.ie/cork/east-muskerry/donaghmore/gowlane/bunkilla/
Church Island (Ogham Site)|Ogham Site, Co. Kerry|Ireland|Q27|Munster|Q131438|Kerry|Q184469|Iveragh|Q59419925|51.9376|-10.2832|51.9376,-10.2832|
Cloghabrody (Ogham Site)|Ogham Site, Co. Kilkenny|Ireland|Q27|Leinster |Q159736|Kilkenny|Q180231|Gowran|Q28224604|52.53472|-7.13778|52.53472,-7.13778|https://www.townlands.ie/kilkenny/gowran/thomastown/thomastown/cloghabrody/
Coumlanders (Ogham Site)|Ogham Site, Co. Kerry|Ireland|Q27|Munster|Q131438|Kerry|Q184469|Corkaguiny|Q59419929|52.125339|-10.175484|52.125339,-10.175484|https://www.logainm.ie/22748.aspx
Kilgrovan (Ogham Site)|Ogham Site, Co. Waterford|Ireland|Q27|Munster|Q131438|Waterford|Q184594|Decies without Drum|Q59419975|52.09056|-7.54972|52.09056,-7.54972|https://www.townlands.ie/waterford/decies-without-drum/kilgobnet/clonea/kilgrovan/
Knockmahon (Ogham Site)|Ogham Site, Co. Waterford|Ireland|Q27|Munster|Q131438|Waterford|Q184594|Decies without Drum|Q59419975|52.14028|-7.35056|52.14028,-7.35056|https://www.townlands.ie/waterford/decies-without-drum/kilbarrymeaden/knockmahon/knockmahon/
Ratass (Ogham Site)|Ogham Site, Co. Kerry|Ireland|Q27|Munster|Q131438|Kerry|Q184469|Trughanacmy|Q7847631|52.2675|-9.67583|52.2675,-9.67583|https://www.townlands.ie/kerry/trughanacmy/ratass/tralee-rural/ratass/
Scattery Island (Ogham Site)|Ogham Site, Co. Clare|Ireland|Q27|Munster|Q131438|Clare|Q181862|Moyarta|Q16895522|52.61278|-9.51861|52.61278,-9.51861|https://www.townlands.ie/clare/moyarta/kilrush/kilrush-rural/scattery-island/
Shankill (Ogham Site)|Ogham Site, Co. Kilkenny|Ireland|Q27|Leinster |Q159736|Kilkenny|Q180231|Gowran|Q28224604|52.69528|-7.0275|52.69528,-7.0275|https://www.townlands.ie/kilkenny/gowran/shankill/shankill/shankill/
