word,wikidata,type,translation,ref,variants,context
ANM,Q68000035,Q67381377,name,"McManus 1991,§6.27",[ANM],"{{ANM [P]},{ANM [P] MAQI [P]}}"
AVI,Q68000199,Q67381377,"grandson, descendant","McManus 1991,§6.27",[AVI],"{{AVI [P]},{[P] AVI [P]},{[P] MAQI [P] AVI [P]}}"
CELI,Q68000377,Q67381377,"companions, client, fellow","McManus 1991,§6.27",[CELI],"{{CELI [P]},{[P] CELI [P]}}"
INIGENA,Q106703620 ,Q67381377,daughter,"McManus 1991,§6.27",[INIGENA|INGENVI],{{INIGENA [P]}}
KOI,Q68000462,Q67381377,here,"McManus 1991,§6.27",[KOI],"{{[P] KOI MAQI MUCOI [P]},{KOI [P]}}"
MAQI,Q67381254,Q67381377,son,"McManus 1991,§6.27",[MAQI|MAQQI|MAQ|MAC|MACI|MACCI|MACV],"{{[P] MAQI [P]},{[P] MAQI MUCOI [P]},{[P] MAQI [P] MUCOI [P]},{[P] KOI MAQI MUCOI [P]},{[P] MAQI [P] MAQI MUCOI [P]},{ANM [P] MAQI [P]},{[P] MAQI [P] AVI [P]}}"
MEMOR,Q106703621 ,Q67381377,"memorial, tombstone","McManus 1991,§6.27",[MEMOR],{String}
MUCOI,Q67999759,Q67381377,"túath, tribe","McManus 1991,§6.27",[MUCOI|MOCU|MACCU|MOCOI|MOCO],"{{MUCOI [P]},{[P] MAQI MUCOI [P]},{[P] MAQI [P] MUCOI [P]},{[P] KOI MAQI MUCOI [P]},{[P] MUCOI [P]},{[P] MAQI [P] MAQI MUCOI [P]}}"
NIOTA,Q106703622 ,Q67381377,"nephew, sister`s son","McManus 1991,§6.27",[NIOTA|NETTA|NETA],{{NIOTA [P]}}
CUNA,Q67382235,Q67382150,"dog, hound","McManus 1991,§6.3",[CUNA|CUNO|CONU|CVNO|CUNAS|CONAS|CONA|CON|CVNI],{subString}
CATTU,Q67383338,Q67382150,battle,"McManus 1991,§6.3",[CATTU|CATU|CATA|CAT|CATTOS|CATOS|CCATTO|CATTO|CCATO|CATI],{subString}
BARR,Q106703624 ,Q67382150,"top, head, hear of the head","McManus 1991,§6.4",[BARR|BAR],{subString}
DOV,Q106703625 ,Q67382150,black,"McManus 1991,§6.4",[DOV],{subString}
GLAS,Q106703626 ,Q67382150,light green,"McManus 1991,§6.4",[GLAS],{subString}
MAGL,Q106703628 ,Q67382150,prince,"McManus 1991,§6.4",[MAGL|MAGLI],{subString}
VIR,Q106703629 ,Q67382150,man,"McManus 1991,§6.4",[VIR|VER],{subString}
LUG,Q67383482,Q67382150,god,"McManus 1991,§6.5",[LUG],{subString}
ERC,Q67382360,Q67382150,god,"McManus 1991,§6.5",[ERC|ERCA],{subString}
RITTA,Q106703630 ,Q67382150,god,"McManus 1991,§6.5",[RITTA|RETA|RITTE],{subString}
BRAN,Q106703632 ,Q67382150,raven,"McManus 1991,§6.6",[BRAN],{subString}
QENN,Q106703633 ,Q67382150,head,"McManus 1991,§6.6",[QENN|QVEN|QEN|QENI],{subString}
IVA,Q106703635 ,Q67382150,"tree, yew tree","McManus 1991,§6.6",[IVA|IVO],{subString}
TREN,Q106703636 ,Q67382150,strong,"McManus 1991,§6.6",[TREN|TTREN],{subString}
DOVALESCI,Q106703638,Q79401991,(he who is) black and sliggish,"McManus 1991,§6.10",[DOVALESCI],{string}
GATTEGLAN,Q106703639 ,Q79401991,(he who is) wise and pure,"McManus 1991,§6.10",[GATTEGLAN],{string}
DERCMASOC,Q68001907,Q79401991,(he who has) an elegant /filthy eye,"McManus 1991,§6.10",[DERCMASOC],{string}
CUNAMAGLI,Q106703641 ,Q79401991,prince of wolves,"McManus 1991,§6.10",[CUNAMAGLI],{string}
CUNANETAS,Q101349712,Q79401991,champion of the wolves,"McManus 1991,§6.10",[CUNANETAS|CUNNETAS],{string}
CATABAR,Q106703642 ,Q79401991,head (`chief`) of battle,"McManus 1991,§6.10",[CATABAR],{string}
CATTUVVIRR,Q106703644 ,Q79401991,man of battle,"McManus 1991,§6.10",[CATTUVVIRR],{string}
CVNORIX,Q106703645 ,Q79401991,king of wolves,"McManus 1991,§6.10",[CVNORIX],{string}
CUNAGUSSOS,Q106703646 ,Q79401991,(he who has) the strengh of a wolf,"McManus 1991,§6.10",[CUNAGUSSOS],{string}
VERGOSO,Q106703648 ,Q79401991,(he who has) the strengh of a man,"McManus 1991,§6.10",[VERGOSO],{string}
VENDVBARI,Q106703650 ,Q79401991,(he who has) a fair head of hear,"McManus 1991,§6.10",[VENDVBARI],{string}
INEQAGLAS,Q106703652 ,Q79401991,having a grey face,"McManus 1991,§6.10",[INEQAGLAS],{string}
BARRIVENDI,Q106703653 ,Q79401991,(he who has) a  a fair head of hear,"McManus 1991,§6.10",[BARRIVENDI],{string}
ACTO,Q106703655 ,Q79401991,drives,"McManus 1991,§6.11",[ACTO],{string}
ALATTOS,Q106703656 ,Q79401991,wild,"McManus 1991,§6.11",[ALATTOS|ALATTO],{string}
BAIT,Q106703659 ,Q79401991,foolish,"McManus 1991,§6.11",[BAIT],{string}
BARI,Q106703660 ,Q79401991,"top, head","McManus 1991,§6.11",[BARI],{string}
BIR,Q106703661 ,Q79401991,short heared,"McManus 1991,§6.11",[BIR],{string}
BROCI,Q106703663 ,Q79401991,badger,"McManus 1991,§6.11",[BROCI|BROCC],{string}
BRUSCCOS,Q106703664 ,Q79401991,thunder,"McManus 1991,§6.11",[BRUSCCOS|BRUSCO],{string}
CARI,Q106703667 ,Q79401991,loves,"McManus 1991,§6.11",[CARI],{string}
CORBBI,Q106703669 ,Q79401991,defiles,"McManus 1991,§6.11",[CORBBI],{string}
CORRE,Q106703670 ,Q79401991,heron,"McManus 1991,§6.11",[CORRE],{string}
CURCI,Q106703672 ,Q79401991,"heart or reddens, burns","McManus 1991,§6.11",[CURCI],{string}
DALI,Q106703673 ,Q79401991,blind,"McManus 1991,§6.11",[DALI|DALA],{string}
DEGOS,Q106703676 ,Q79401991,"flame,blaze","McManus 1991,§6.11",[DEGOS|DEGO],{string}
DOMMO,Q106703677 ,Q79401991,Domma,"McManus 1991,§6.11",[DOMMO],{string}
DRUGNO,Q106703679 ,Q79401991,dróna,"McManus 1991,§6.11",[DRUGNO|DROGNO],{string}
ERC,Q106703682 ,Q79401991,"heaven,cow","McManus 1991,§6.11",[ERC],{string}
IARNI,Q106703683 ,Q79401991,iron,"McManus 1991,§6.11",[IARNI],{string}
MEDVVI,Q106703685 ,Q79401991,mead,"McManus 1991,§6.11",[MEDVVI],{string}
RODDOS,Q106703686 ,Q79401991,"red,Ríata","McManus 1991,§6.11",[RODDOS|REDDOS],{string}
TRENU,Q106703689 ,Q79401991,strong/Trian,"McManus 1991,§6.11",[TRENU],{string}
TIGIRIN,Q106703691 ,Q79401991,lord,"McManus 1991,§6.11",[TIGIRIN],{string}
VORGOS,Q106703692 ,Q79401991,Forgo,"McManus 1991,§6.11",[VORGOS],{string}
VRAICCI,Q106703694 ,Q79401991,heather,"McManus 1991,§6.11",[VRAICCI],{string}
BAIDAGNI,Q106703695 ,Q79401991,Báetán,"McManus 1991,§6.12",[BAIDAGNI],{string}
BARANAN,Q106703698 ,Q79401991,raven,"McManus 1991,§6.12",[BARANAN],{string}
BROCAGNI,Q106703699 ,Q79401991,badger,"McManus 1991,§6.12",[BROCAGNI|BROCANN|BROCAGNI],{string}
CERANI,Q106703701 ,Q79401991,dark,"McManus 1991,§6.12",[CERANI|CERAN],{string}
COIMAGNI,Q106703702 ,Q79401991,"dear,precious","McManus 1991,§6.12",[COIMAGNI],{string}
COLOMAGNI,Q106703704 ,Q79401991,dove,"McManus 1991,§6.12",[COLOMAGNI],{string}
COMMAGGAGNI,Q106703705 ,Q79401991,leads,"McManus 1991,§6.12",[COMMAGGAGNI|COMMOGAN],{string}
CONANN,Q106703706 ,Q79401991,"hound,wolf","McManus 1991,§6.12",[CONANN],{string}
CORBAGNI,Q106703708 ,Q79401991,defiles,"McManus 1991,§6.12",[CORBAGNI],{string}
COVAGNI,Q106703710 ,Q79401991,brown,"McManus 1991,§6.12",[COVAGNI|CRONAN|CRONN],{string}
CVRCAGNI,Q106703711 ,Q79401991,heart/burns,"McManus 1991,§6.12",[CVRCAGNI],{string}
DALAGNI,Q68001812,Q79401991,blind,"McManus 1991,§6.12",[DAIMAGNI|DALAGNI],{string}
DOVAGNI,Q106703712 ,Q79401991,black,"McManus 1991,§6.12",[DOVAGNI|DOBAGNI],{string}
GIRAGNI,Q106703714 ,Q79401991,short (-haired),"McManus 1991,§6.12",[GIRAGNI],{string}
GLANNANI,Q106703715 ,Q79401991,pure,"McManus 1991,§6.12",[GLANNANI],{string}
LAIDANN,Q106703717 ,Q79401991,poem,"McManus 1991,§6.12",[LAIDANN|LADDIGNI],{string}
MODDAGNI,Q106703718 ,Q79401991,noble,"McManus 1991,§6.12",[MODDAGNI|MODDAGN],{string}
RONANN,Q106703720 ,Q79401991,seal,"McManus 1991,§6.12",[RONANN|RONNN],{string}
ULCAGNI,Q106703721 ,Q79401991,evil,"McManus 1991,§6.12",[ULCAGNI|VLCAGNI],{string}
VIRAGNI,Q106703723 ,Q79401991,man/true,"McManus 1991,§6.12",[VIRAGNI],{string}
BATTIGNI,Q106703724 ,Q79401991,foolish,"McManus 1991,§6.12",[BATTIGNI],{string}
QASIGNI,Q106703726 ,Q79401991,curly,"McManus 1991,§6.12",[QASIGNI|QASIGN],{string}
VENDOGNI,Q106703729 ,Q79401991,fair,"McManus 1991,§6.12",[VENDOGNI],{string}
CASONI,Q106703730 ,Q79401991,curly,"McManus 1991,§6.12",[CASONI],{string}
CRONUN,Q106703732 ,Q79401991,brown,"McManus 1991,§6.12",[CRONUN],{string}
GOSOCTAS,Q106703733 ,Q79401991,danger,"McManus 1991,§6.13",[GOSOCTAS],{string}
BRANOGENI,Q106703734 ,Q79401991,raven + he who is born of or son,"McManus 1991,§6.9",[BRANOGENI],{string}
CUNAGUSSOS,Q106703736 ,Q79401991,"hound, wolf + vigour","McManus 1991,§6.9",[CUNAGUSSOS],{string}
CATTUVVIRR,Q106703737 ,Q79401991,battle + man,"McManus 1991,§6.9",[CATTUVVIRR],{string}
DOMNGEN,Q106703739 ,Q79401991,world + son,"McManus 1991,§6.9",[DOMNGEN],{string}
GAMICUNAS,Q106703740 ,Q79401991,winter + wolf,"McManus 1991,§6.9",[GAMICUNAS],{string}
IVACATTOS,Q106703742 ,Q79401991,yew + battle,"McManus 1991,§6.9",[IVACATTOS],{string}
IVAGENI,Q106703743 ,Q79401991,yew + son,"McManus 1991,§6.9",[IVAGENI],{string}
MEDDO,Q106703745 ,Q79401991,mead + son,"McManus 1991,§6.9",[MEDDO|UGENI],{string}
VERGOSO,Q106703746 ,Q79401991,man + vigour,"McManus 1991,§6.9",[VERGOSO],{string}
BODIBEVE,Q106703747 ,Q79401991,"victory + living,alive","McManus 1991,§6.9",[BODIBEVE|BODDIB],{string}
BRANADDOV,Q106703748 ,Q79401991,raven + black,"McManus 1991,§6.9",[BRANADDOV],{string}
VENDUBARI,Q106703749 ,Q79401991,"top, head, hear of the head + fair","McManus 1991,§6.9",[VENDUBARI],{string}
BIVAIDONAS,Q106703750 ,Q79401991,alive + fire,"McManus 1991,§6.9",[BIVAIDONAS],{string}
DOVAIDONA,Q106703751 ,Q79401991,black + fire,"McManus 1991,§6.9",[DOVAIDONA],{string}
GLASICONAS,Q106703752 ,Q79401991,grey + wolf,"McManus 1991,§6.9",[GLASICONAS],{string}
TRENACCATLO,Q106703753 ,Q79401991,strong + battle,"McManus 1991,§6.9",[TRENACCATLO|TRENACATVS],{string}
VANDUBARI,Q106703754 ,Q79401991,fair + head,"McManus 1991,§6.9",[VANDUBARI],{string}
DOVALESCI,Q106703755 ,Q79401991,black + sluggish,"McManus 1991,§6.9",[DOVALESCI],{string}
AMMECATI,Q106703756 ,Q79401991,arround + battle,"McManus 1991,§6.9",[AMMECATI|AMBICATOS|BICATOS],{string}
